kab_asal,kab_tujuan,jarak_meter,jarak_km,waktu_detik,waktu_menit
Kabupaten Jombang,Kabupaten Mojokerto,44083.1,44.08,2187.3,36.5
Kabupaten Jombang,Kabupaten Nganjuk,40235.5,40.24,2180.2,36.3
Kabupaten Jombang,Kabupaten Ngawi,105727.0,105.73,5635.9,93.9
Kabupaten Jombang,Kabupaten Pacitan,208555.5,208.56,9383.9,156.4
Kabupaten Jombang,Kabupaten Pamekasan,192593.9,192.59,8484.4,141.4
Kabupaten Jombang,Kabupaten Pasuruan,75543.7,75.54,3506.9,58.4
Kabupaten Jombang,Kabupaten Ponorogo,121642.6,121.64,5994.6,99.9
Kabupaten Jombang,Kabupaten Probolinggo,155257.2,155.26,6993.2,116.6
Kabupaten Jombang,Kabupaten Sampang,159181.1,159.18,7124.8,118.7
Kabupaten Jombang,Kabupaten Sidoarjo,75285.7,75.29,3352.4,55.9
Kabupaten Jombang,Kabupaten Situbondo,227811.2,227.81,10157.2,169.3
Kabupaten Jombang,Kabupaten Sumenep,245217.8,245.22,11030.6,183.8
Kabupaten Jombang,Kabupaten Trenggalek,107468.3,107.47,4983.8,83.1
Kabupaten Jombang,Kabupaten Tuban,84248.8,84.25,4424.5,73.7
Kabupaten Jombang,Kabupaten Tulungagung,75106.7,75.11,3573.2,59.6
Kabupaten Jombang,Kota Batu,76359.7,76.36,4384.3,73.1
Kabupaten Jombang,Kota Blitar,88498.0,88.5,4704.8,78.4
Kabupaten Jombang,Kota Kediri,44663.5,44.66,2134.7,35.6
Kabupaten Jombang,Kota Madiun,92886.5,92.89,4798.1,80.0
Kabupaten Jombang,Kota Malang,117853.5,117.85,5265.3,87.8
Kabupaten Jombang,Kota Mojokerto,32208.8,32.21,1612.1,26.9
Kabupaten Jombang,Kota Pasuruan,91461.1,91.46,4198.2,70.0
Kabupaten Jombang,Kota Probolinggo,127674.6,127.67,5790.9,96.5
Kabupaten Jombang,Kota Surabaya,78987.7,78.99,3545.2,59.1
Kabupaten Kediri,Kabupaten Lamongan,111124.9,111.12,6033.5,100.6
Kabupaten Kediri,Kabupaten Lumajang,214939.2,214.94,9975.5,166.3
Kabupaten Kediri,Kabupaten Madiun,74228.2,74.23,4317.6,72.0
Kabupaten Kediri,Kabupaten Magetan,91196.2,91.2,5258.3,87.6
Kabupaten Kediri,Kabupaten Malang,123404.9,123.4,6617.4,110.3
Kabupaten Kediri,Kabupaten Mojokerto,85653.1,85.65,4432.7,73.9
Kabupaten Kediri,Kabupaten Nganjuk,16458.7,16.46,1253.7,20.9
Kabupaten Kediri,Kabupaten Ngawi,80700.9,80.7,4820.0,80.3
Kabupaten Kediri,Kabupaten Pacitan,182204.4,182.2,8632.5,143.9
Kabupaten Kediri,Kabupaten Pamekasan,228854.8,228.85,10401.6,173.4
